code	description
1001	dorsal_highStan_lowDevi_stan_f74v47
1002	dorsal_highStan_lowDevi_stan_f74v50
1003	dorsal_highStan_lowDevi_stan_f74v53
1004	dorsal_highStan_lowDevi_stan_f79v47
1005	dorsal_highStan_lowDevi_stan_f79v50
1006	dorsal_highStan_lowDevi_stan_f79v53
1007	dorsal_highStan_lowDevi_stan_f83v47
1008	dorsal_highStan_lowDevi_stan_f83v50
1009	dorsal_highStan_lowDevi_stan_f83v53
1110	dorsal_highStan_lowDevi_devi_f74v11
1111	dorsal_highStan_lowDevi_devi_f74v5
1112	dorsal_highStan_lowDevi_devi_f74v8
1113	dorsal_highStan_lowDevi_devi_f79v11
1114	dorsal_highStan_lowDevi_devi_f79v5
1115	dorsal_highStan_lowDevi_devi_f79v8
1116	dorsal_highStan_lowDevi_devi_f83v11
1117	dorsal_highStan_lowDevi_devi_f83v5
1118	dorsal_highStan_lowDevi_devi_f83v8
2010	dorsal_lowStan_highDevi_stan_f74v11
2011	dorsal_lowStan_highDevi_stan_f74v5
2012	dorsal_lowStan_highDevi_stan_f74v8
2013	dorsal_lowStan_highDevi_stan_f79v11
2014	dorsal_lowStan_highDevi_stan_f79v5
2015	dorsal_lowStan_highDevi_stan_f79v8
2016	dorsal_lowStan_highDevi_stan_f83v11
2017	dorsal_lowStan_highDevi_stan_f83v5
2018	dorsal_lowStan_highDevi_stan_f83v8
2101	dorsal_lowStan_highDevi_devi_f74v47
2102	dorsal_lowStan_highDevi_devi_f74v50
2103	dorsal_lowStan_highDevi_devi_f74v53
2104	dorsal_lowStan_highDevi_devi_f79v47
2105	dorsal_lowStan_highDevi_devi_f79v50
2106	dorsal_lowStan_highDevi_devi_f79v53
2107	dorsal_lowStan_highDevi_devi_f83v47
2108	dorsal_lowStan_highDevi_devi_f83v50
2109	dorsal_lowStan_highDevi_devi_f83v53
3019	glottal_highStan_lowDevi_stan_f74v122
3020	glottal_highStan_lowDevi_stan_f74v125
3021	glottal_highStan_lowDevi_stan_f74v128
3022	glottal_highStan_lowDevi_stan_f79v122
3023	glottal_highStan_lowDevi_stan_f79v125
3024	glottal_highStan_lowDevi_stan_f79v128
3025	glottal_highStan_lowDevi_stan_f83v122
3026	glottal_highStan_lowDevi_stan_f83v125
3027	glottal_highStan_lowDevi_stan_f83v128
3128	glottal_highStan_lowDevi_devi_f74v80
3129	glottal_highStan_lowDevi_devi_f74v83
3130	glottal_highStan_lowDevi_devi_f74v86
3131	glottal_highStan_lowDevi_devi_f79v80
3132	glottal_highStan_lowDevi_devi_f79v83
3133	glottal_highStan_lowDevi_devi_f79v86
3134	glottal_highStan_lowDevi_devi_f83v80
3135	glottal_highStan_lowDevi_devi_f83v83
3136	glottal_highStan_lowDevi_devi_f83v86
4028	glottal_lowStan_highDevi_stan_f74v80
4029	glottal_lowStan_highDevi_stan_f74v83
4030	glottal_lowStan_highDevi_stan_f74v86
4031	glottal_lowStan_highDevi_stan_f79v80
4032	glottal_lowStan_highDevi_stan_f79v83
4033	glottal_lowStan_highDevi_stan_f79v86
4034	glottal_lowStan_highDevi_stan_f83v80
4035	glottal_lowStan_highDevi_stan_f83v83
4036	glottal_lowStan_highDevi_stan_f83v86
4119	glottal_lowStan_highDevi_devi_f74v122
4120	glottal_lowStan_highDevi_devi_f74v125
4121	glottal_lowStan_highDevi_devi_f74v128
4122	glottal_lowStan_highDevi_devi_f79v122
4123	glottal_lowStan_highDevi_devi_f79v125
4124	glottal_lowStan_highDevi_devi_f79v128
4125	glottal_lowStan_highDevi_devi_f83v122
4126	glottal_lowStan_highDevi_devi_f83v125
4127	glottal_lowStan_highDevi_devi_f83v128
